"N" "nteeth" "ntime" "truealpha0" "truealpha1" "truealpha2" "truealpha3" "truebeta0" "truebeta1" "truebeta2" "truebeta3" "truenu" "truetau" "truerho" "prob_dropout" "variable" "value" "truth" "var"
500 28 6 2 "0" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.468934495361259 "cwbeta3relbias" -0.695453640953534 "0" "alpha30"
500 28 6 2 "0" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.553987297106563 "rrzcwbeta3relbias" -0.012507548634584 "0" "alpha3-2"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.494125874125874 "cwbeta3relbias" 0.904750918500652 "0" "alpha3-1"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.482807215332582 "cwbeta3relbias" 0.812023079939534 "-0.5" "alpha3-2"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.291666666666667 "ccbeta3relbias" 0.524696197283768 "-2" "alpha3-1"
500 28 6 2 "-0.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.381512605042017 "ccbeta3relbias" 0.11088492288836 "-0.5" "alpha30"
500 28 6 2 "-2" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.378569368329968 "rrzcwbeta3relbias" -0.0832322204649 "-2" "alpha3-2"
500 28 6 2 "-1.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.320529608613415 "bbdcwbeta3relbias" -0.192880497587044 "-1.5" "alpha30"
500 28 6 2 "0" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.582883802303543 "bbdcwbeta3relbias" 1.14350420297338 "0" "alpha3-2"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.382147440467703 "ccbeta3relbias" 0.492909728227684 "-0.5" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.421455938697318 "bbdcwbeta3relbias" 0.194072986828622 "-1" "alpha3-2"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.319179051663128 "bbdcwbeta3relbias" -0.122180184278336 "-1" "alpha30"
